"","country","country_code","latitude","longitude"
"137","Unknown","Unknown",53.075,-105.8417
"138","Unknown","Unknown",35.6531,-114.0244
"139","Unknown","Unknown",35.6455,-114.0307
"140","Unknown","Unknown",35.6464,-114.0285
"141","Unknown","Unknown",35.6465,-114.0285
"142","Unknown","Unknown",35.627,-114.0434
"143","Unknown","Unknown",35.6272,-114.0432
"144","Unknown","Unknown",35.6619,-114.0271
"145","Unknown","Unknown",35.6638,-114.027
"146","Unknown","Unknown",35.6973,-114.032
"147","Unknown","Unknown",35.6795,-114.0434
"148","Unknown","Unknown",35.6448,-114.0345
"149","Unknown","Unknown",35.6268,-114.0437
"150","Unknown","Unknown",35.6973,-114.0617
"151","Unknown","Unknown",35.6333,-114.0833
"152","Unknown","Unknown",35.6413,-114.09
"153","Unknown","Unknown",35.647,-114.0955
"154","Unknown","Unknown",35.6587,-114.0257
"155","Unknown","Unknown",35.64,-114.0328
"156","Unknown","Unknown",35.6245,-114.0469
"157","Unknown","Unknown",32,-95
"158","Unknown","Unknown",35.4167,-117.9167
"159","Unknown","Unknown",40.25,-100.5
"160","Unknown","Unknown",-30.7167,116.5
"161","Unknown","Unknown",53.9329,-112.977
"162","Unknown","Unknown",43.8667,-85.5167
"163","Unknown","Unknown",25.5833,0.5
"164","Unknown","Unknown",25.6333,0.5333
"165","Unknown","Unknown",25.6333,0.5
"166","Unknown","Unknown",-30.0667,128.9833
"167","Unknown","Unknown",-30.0667,128.9667
"168","Unknown","Unknown",-30.25,128.8
"169","Unknown","Unknown",-30.15,128.8
"170","Unknown","Unknown",-30.6,128.4833
"171","Unknown","Unknown",-30.65,128.4083
"172","Unknown","Unknown",-30.0833,128.8167
"173","Unknown","Unknown",-30.3167,128.985
"174","Unknown","Unknown",-30.3217,128.85
"175","Unknown","Unknown",-30.2167,128.3
"176","Unknown","Unknown",-30.5,128.5
"177","Unknown","Unknown",-30.0833,128.9167
"178","Unknown","Unknown",-30.0833,128.8333
"179","Unknown","Unknown",-30.2867,128.635
"180","Unknown","Unknown",-30.1667,129
"181","Unknown","Unknown",-30.1667,128.9167
"182","Unknown","Unknown",-30.5173,128.4762
"183","Unknown","Unknown",-30.5167,128.4583
"184","Unknown","Unknown",-30.0678,128.9848
"185","Unknown","Unknown",-30.3028,128.5262
"186","Unknown","Unknown",-30.3008,128.5255
"187","Unknown","Unknown",-30.3183,128.3833
"188","Unknown","Unknown",-30.2867,128.5733
"189","Unknown","Unknown",-30.2483,128.6353
"190","Unknown","Unknown",-30.3181,128.3733
"191","Unknown","Unknown",-30.1237,128.8495
"192","Unknown","Unknown",-23.1756,-69.7183
"193","Unknown","Unknown",36.9867,-97.555
"194","Unknown","Unknown",40.0833,-98.9167
"195","Unknown","Unknown",39.4589,-4.3775
"196","Unknown","Unknown",23.2925,-10.1748
"197","Unknown","Unknown",23.3907,-9.9402
"198","Unknown","Unknown",-34.6667,139.2833
"199","Unknown","Unknown",33.5333,-99.6167
"200","Unknown","Unknown",-21.9833,-69.6167
"201","Unknown","Unknown",10,9
"202","Unknown","Unknown",37.2222,-101.6814
"203","Unknown","Unknown",31.9,-96.4
"204","Unknown","Unknown",35.5833,-117.5667
"205","Unknown","Unknown",38.5167,-107.8333
"206","Unknown","Unknown",-23.8708,-67.1764
