country,country_code,latitude,longitude
Oman,OM,18.8412,54.7564
Oman,OM,18.7254,54.7305
Oman,OM,18.9414,54.6955
Oman,OM,19.7214,54.679
Oman,OM,18.5713,54.7148
Oman,OM,18.4121,54.6289
Oman,OM,18.6205,54.7154
Oman,OM,18.9547,54.8047
Oman,OM,19.0824,54.4523
Oman,OM,19.0669,54.5193
Oman,OM,19.0292,54.5447
Oman,OM,19.0295,54.5444
Oman,OM,19.0379,54.537
Oman,OM,19.0663,54.522
Oman,OM,19.0694,54.5213
Oman,OM,19.0684,54.535
Oman,OM,19.0418,54.5565
Oman,OM,19.0516,54.4634
Oman,OM,19.0487,54.5291
Oman,OM,19.0591,54.5369
Oman,OM,19.0604,54.5367
Oman,OM,19.0605,54.5368
Oman,OM,19.0704,54.5384
Oman,OM,19.0625,54.5505
Oman,OM,19.0557,54.5511
Oman,OM,19.0523,54.5419
Oman,OM,19.0586,54.535
Oman,OM,19.0616,54.5346
Unknown,Unknown,26.2833,34.25
Unknown,Unknown,72.8833,-25.1167
Unknown,Unknown,-57.7867,-90.7933
Unknown,Unknown,-33.8667,121.9167
Unknown,Unknown,30.3117,-86.1667
Antarctica,AQ,-72.775,75.3308
Antarctica,AQ,-72.7756,75.3369
Antarctica,AQ,-72.7756,75.3375
Antarctica,AQ,-72.7756,75.3378
Antarctica,AQ,-72.7756,75.3381
Antarctica,AQ,-72.7756,75.3386
Antarctica,AQ,-72.7753,75.3272
Antarctica,AQ,-72.7753,75.3283
Antarctica,AQ,-72.7753,75.3286
Antarctica,AQ,-72.7753,75.3292
Antarctica,AQ,-72.7753,75.3303
Antarctica,AQ,-72.7736,75.3369
Antarctica,AQ,-72.7736,75.3372
Antarctica,AQ,-72.7736,75.3383
Antarctica,AQ,-72.7733,75.3269
Antarctica,AQ,-72.7736,75.3422
Antarctica,AQ,-72.7739,75.3333
Antarctica,AQ,-72.7739,75.335
Antarctica,AQ,-72.7739,75.3353
Antarctica,AQ,-72.7739,75.3356
Antarctica,AQ,-72.7739,75.3361
Antarctica,AQ,-72.7747,75.3119
Antarctica,AQ,-72.7747,75.3122
Antarctica,AQ,-72.7747,75.3128
Antarctica,AQ,-72.7747,75.3131
Antarctica,AQ,-72.7747,75.3133
Antarctica,AQ,-72.7747,75.3136
Antarctica,AQ,-72.7747,75.3139
Antarctica,AQ,-72.775,75.3056
Antarctica,AQ,-72.775,75.3058
Antarctica,AQ,-72.775,75.3061
Antarctica,AQ,-72.775,75.3167
Antarctica,AQ,-72.775,75.3172
Antarctica,AQ,-72.775,75.3178
Antarctica,AQ,-72.775,75.3181
Antarctica,AQ,-72.775,75.3183
Antarctica,AQ,-72.775,75.3186
Antarctica,AQ,-72.775,75.3189
Antarctica,AQ,-72.775,75.3192
Antarctica,AQ,-72.775,75.3194
Antarctica,AQ,-72.775,75.32
Antarctica,AQ,-72.7747,75.3231
Antarctica,AQ,-72.7747,75.3233
Antarctica,AQ,-72.7744,75.3197
Antarctica,AQ,-72.7744,75.32
Antarctica,AQ,-72.7744,75.3203
Antarctica,AQ,-72.7744,75.3208
Antarctica,AQ,-72.7744,75.3211
Antarctica,AQ,-72.7744,75.3228
Antarctica,AQ,-72.7744,75.3253
Antarctica,AQ,-72.7742,75.3153
Antarctica,AQ,-72.7742,75.3156
Antarctica,AQ,-72.7742,75.3158
Antarctica,AQ,-72.7742,75.3161
