"","reclat","reclong","lat_lng"
"2074",-76.9235,156.5407,"-76.9235,156.5407"
"2075",-76.9105,156.5348,"-76.9105,156.5348"
"2076",-76.9068,156.6651,"-76.9068,156.6651"
"2077",-76.8502,156.3107,"-76.8502,156.3107"
"2078",-76.7059,159.3923,"-76.7059,159.3923"
"2079",-76.902,156.6769,"-76.902,156.6769"
"2080",-76.8533,156.3047,"-76.8533,156.3047"
"2081",-76.9186,156.583,"-76.9186,156.583"
"2082",-76.8368,156.4527,"-76.8368,156.4527"
"2083",-76.9013,156.7147,"-76.9013,156.7147"
"2084",-76.7156,159.3742,"-76.7156,159.3742"
"2085",-76.8334,156.1745,"-76.8334,156.1745"
"2086",-76.8475,156.3236,"-76.8475,156.3236"
"2087",-76.8447,156.4293,"-76.8447,156.4293"
"2088",-76.9119,156.6512,"-76.9119,156.6512"
"2089",-76.8868,156.5258,"-76.8868,156.5258"
"2090",-76.8604,156.5063,"-76.8604,156.5063"
"2091",-76.9892,156.9394,"-76.9892,156.9394"
"2092",-76.85,156.3108,"-76.85,156.3108"
"2093",-76.9052,156.7536,"-76.9052,156.7536"
"2094",-76.8214,156.0364,"-76.8214,156.0364"
"2095",-76.8511,156.2988,"-76.8511,156.2988"
"2096",-76.8511,156.2976,"-76.8511,156.2976"
"2097",-77.0463,157.0988,"-77.0463,157.0988"
"2098",-76.903,156.705,"-76.903,156.705"
"2099",-76.8428,156.4023,"-76.8428,156.4023"
"2100",-76.8547,156.4772,"-76.8547,156.4772"
"2101",-76.8351,156.362,"-76.8351,156.362"
"2102",-76.8352,156.4475,"-76.8352,156.4475"
"2103",-76.907,156.6682,"-76.907,156.6682"
"2104",-76.9083,156.962,"-76.9083,156.962"
"2105",-76.8354,156.4432,"-76.8354,156.4432"
"2106",-76.8363,156.3468,"-76.8363,156.3468"
"2107",-76.8469,156.3212,"-76.8469,156.3212"
"2108",-76.6984,159.3836,"-76.6984,159.3836"
"2109",-76.9153,156.9891,"-76.9153,156.9891"
"2110",-76.8388,156.1667,"-76.8388,156.1667"
"2111",-76.9015,156.7094,"-76.9015,156.7094"
"2112",-76.8956,156.4767,"-76.8956,156.4767"
"2113",-76.8352,156.3756,"-76.8352,156.3756"
"2114",-76.9142,156.5395,"-76.9142,156.5395"
"2115",-76.8428,156.4791,"-76.8428,156.4791"
"2116",-76.6795,159.3425,"-76.6795,159.3425"
"2117",-76.8302,156.0701,"-76.8302,156.0701"
"2118",-76.8481,156.4368,"-76.8481,156.4368"
"2119",-76.8365,156.4511,"-76.8365,156.4511"
"2120",-76.899,156.4987,"-76.899,156.4987"
"2121",-76.8779,156.499,"-76.8779,156.499"
"2122",-76.856,156.3271,"-76.856,156.3271"
"2123",-76.6952,159.3667,"-76.6952,159.3667"
"2124",-76.7258,159.4091,"-76.7258,159.4091"
"2125",-76.7295,159.4133,"-76.7295,159.4133"
"2126",-76.7062,159.3658,"-76.7062,159.3658"
"2127",-76.7081,159.3098,"-76.7081,159.3098"
